原字,类型,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
ཝས,藏文字符,,,ཝ,,,,ས,
ཝིག,藏文字符,,,ཝ,,,ི,ག,
ཝིང,藏文字符,,,ཝ,,,ི,ང,
ཝིད,藏文字符,,,ཝ,,,ི,ད,
ཝིན,藏文字符,,,ཝ,,,ི,ན,
ཝིབ,藏文字符,,,ཝ,,,ི,བ,
ཝིམ,藏文字符,,,ཝ,,,ི,མ,
ཝིར,藏文字符,,,ཝ,,,ི,ར,
ཝིལ,藏文字符,,,ཝ,,,ི,ལ,
ཝིས,藏文字符,,,ཝ,,,ི,ས,
ཝུག,藏文字符,,,ཝ,,,ུ,ག,
ཝུང,藏文字符,,,ཝ,,,ུ,ང,
ཝུད,藏文字符,,,ཝ,,,ུ,ད,
ཝུན,藏文字符,,,ཝ,,,ུ,ན,
ཝུབ,藏文字符,,,ཝ,,,ུ,བ,
ཝུམ,藏文字符,,,ཝ,,,ུ,མ,
ཝུར,藏文字符,,,ཝ,,,ུ,ར,
ཝུལ,藏文字符,,,ཝ,,,ུ,ལ,
ཝུས,藏文字符,,,ཝ,,,ུ,ས,
ཝེག,藏文字符,,,ཝ,,,ེ,ག,
ཝེང,藏文字符,,,ཝ,,,ེ,ང,
ཝེད,藏文字符,,,ཝ,,,ེ,ད,
ཝེན,藏文字符,,,ཝ,,,ེ,ན,
ཝེབ,藏文字符,,,ཝ,,,ེ,བ,
ཝེམ,藏文字符,,,ཝ,,,ེ,མ,
ཝེར,藏文字符,,,ཝ,,,ེ,ར,
ཝེལ,藏文字符,,,ཝ,,,ེ,ལ,
ཝེས,藏文字符,,,ཝ,,,ེ,ས,
ཝོག,藏文字符,,,ཝ,,,ོ,ག,
ཝོང,藏文字符,,,ཝ,,,ོ,ང,
ཝོད,藏文字符,,,ཝ,,,ོ,ད,
ཝོན,藏文字符,,,ཝ,,,ོ,ན,
ཝོབ,藏文字符,,,ཝ,,,ོ,བ,
ཝོམ,藏文字符,,,ཝ,,,ོ,མ,
ཝོར,藏文字符,,,ཝ,,,ོ,ར,
ཝོལ,藏文字符,,,ཝ,,,ོ,ལ,
ཝོས,藏文字符,,,ཝ,,,ོ,ས,
ཞག,藏文字符,,,ཞ,,,,ག,
ཞང,藏文字符,,,ཞ,,,,ང,
ཞད,藏文字符,,,ཞ,,,,ད,
ཞན,藏文字符,,,ཞ,,,,ན,
ཞབ,藏文字符,,,ཞ,,,,བ,
ཞམ,藏文字符,,,ཞ,,,,མ,
ཞར,藏文字符,,,ཞ,,,,ར,
ཞལ,藏文字符,,,ཞ,,,,ལ,
ཞས,藏文字符,,,ཞ,,,,ས,
ཞིག,藏文字符,,,ཞ,,,ི,ག,
ཞིང,藏文字符,,,ཞ,,,ི,ང,
ཞིད,藏文字符,,,ཞ,,,ི,ད,
ཞིན,藏文字符,,,ཞ,,,ི,ན,
ཞིབ,藏文字符,,,ཞ,,,ི,བ,
ཞིམ,藏文字符,,,ཞ,,,ི,མ,
ཞིར,藏文字符,,,ཞ,,,ི,ར,
ཞིལ,藏文字符,,,ཞ,,,ི,ལ,
ཞིས,藏文字符,,,ཞ,,,ི,ས,
ཞུག,藏文字符,,,ཞ,,,ུ,ག,
ཞུང,藏文字符,,,ཞ,,,ུ,ང,
ཞུད,藏文字符,,,ཞ,,,ུ,ད,
ཞུན,藏文字符,,,ཞ,,,ུ,ན,
ཞུབ,藏文字符,,,ཞ,,,ུ,བ,
ཞུམ,藏文字符,,,ཞ,,,ུ,མ,
ཞུར,藏文字符,,,ཞ,,,ུ,ར,
ཞུལ,藏文字符,,,ཞ,,,ུ,ལ,
ཞུས,藏文字符,,,ཞ,,,ུ,ས,
ཞེག,藏文字符,,,ཞ,,,ེ,ག,
ཞེང,藏文字符,,,ཞ,,,ེ,ང,
ཞེད,藏文字符,,,ཞ,,,ེ,ད,
ཞེན,藏文字符,,,ཞ,,,ེ,ན,
ཞེབ,藏文字符,,,ཞ,,,ེ,བ,
ཞེམ,藏文字符,,,ཞ,,,ེ,མ,
ཞེར,藏文字符,,,ཞ,,,ེ,ར,
ཞེལ,藏文字符,,,ཞ,,,ེ,ལ,
ཞེས,藏文字符,,,ཞ,,,ེ,ས,
ཞོག,藏文字符,,,ཞ,,,ོ,ག,
ཞོང,藏文字符,,,ཞ,,,ོ,ང,
ཞོད,藏文字符,,,ཞ,,,ོ,ད,
ཞོན,藏文字符,,,ཞ,,,ོ,ན,
ཞོབ,藏文字符,,,ཞ,,,ོ,བ,
ཞོམ,藏文字符,,,ཞ,,,ོ,མ,
ཞོར,藏文字符,,,ཞ,,,ོ,ར,
ཞོལ,藏文字符,,,ཞ,,,ོ,ལ,
ཞོས,藏文字符,,,ཞ,,,ོ,ས,
ཟག,藏文字符,,,ཟ,,,,ག,
ཟང,藏文字符,,,ཟ,,,,ང,
ཟད,藏文字符,,,ཟ,,,,ད,
ཟན,藏文字符,,,ཟ,,,,ན,
ཟབ,藏文字符,,,ཟ,,,,བ,
ཟམ,藏文字符,,,ཟ,,,,མ,
ཟར,藏文字符,,,ཟ,,,,ར,
ཟལ,藏文字符,,,ཟ,,,,ལ,
ཟས,藏文字符,,,ཟ,,,,ས,
ཟིག,藏文字符,,,ཟ,,,ི,ག,
ཟིང,藏文字符,,,ཟ,,,ི,ང,
ཟིད,藏文字符,,,ཟ,,,ི,ད,
ཟིན,藏文字符,,,ཟ,,,ི,ན,
ཟིབ,藏文字符,,,ཟ,,,ི,བ,
ཟིམ,藏文字符,,,ཟ,,,ི,མ,
ཟིར,藏文字符,,,ཟ,,,ི,ར,
ཟིལ,藏文字符,,,ཟ,,,ི,ལ,
ཟིས,藏文字符,,,ཟ,,,ི,ས,
ཟུག,藏文字符,,,ཟ,,,ུ,ག,
ཟུང,藏文字符,,,ཟ,,,ུ,ང,
ཟུད,藏文字符,,,ཟ,,,ུ,ད,
ཟུན,藏文字符,,,ཟ,,,ུ,ན,
ཟུབ,藏文字符,,,ཟ,,,ུ,བ,
ཟུམ,藏文字符,,,ཟ,,,ུ,མ,
ཟུར,藏文字符,,,ཟ,,,ུ,ར,
ཟུལ,藏文字符,,,ཟ,,,ུ,ལ,
ཟུས,藏文字符,,,ཟ,,,ུ,ས,
ཟེག,藏文字符,,,ཟ,,,ེ,ག,
ཟེང,藏文字符,,,ཟ,,,ེ,ང,
ཟེད,藏文字符,,,ཟ,,,ེ,ད,
ཟེན,藏文字符,,,ཟ,,,ེ,ན,
ཟེབ,藏文字符,,,ཟ,,,ེ,བ,
ཟེམ,藏文字符,,,ཟ,,,ེ,མ,
ཟེར,藏文字符,,,ཟ,,,ེ,ར,
ཟེལ,藏文字符,,,ཟ,,,ེ,ལ,
ཟེས,藏文字符,,,ཟ,,,ེ,ས,
ཟོག,藏文字符,,,ཟ,,,ོ,ག,
ཟོང,藏文字符,,,ཟ,,,ོ,ང,
ཟོད,藏文字符,,,ཟ,,,ོ,ད,
ཟོན,藏文字符,,,ཟ,,,ོ,ན,
ཟོབ,藏文字符,,,ཟ,,,ོ,བ,
ཟོམ,藏文字符,,,ཟ,,,ོ,མ,
ཟོར,藏文字符,,,ཟ,,,ོ,ར,
ཟོལ,藏文字符,,,ཟ,,,ོ,ལ,
ཟོས,藏文字符,,,ཟ,,,ོ,ས,
འག,藏文字符,,,འ,,,,ག,
འང,藏文字符,,,འ,,,,ང,
འད,藏文字符,,,འ,,,,ད,
འན,藏文字符,,,འ,,,,ན,
འབ,藏文字符,,,འ,,,,བ,
འམ,藏文字符,,,འ,,,,མ,
འར,藏文字符,,,འ,,,,ར,
འལ,藏文字符,,,འ,,,,ལ,
འས,藏文字符,,,འ,,,,ས,
འིག,藏文字符,,,འ,,,ི,ག,
འིང,藏文字符,,,འ,,,ི,ང,
འིད,藏文字符,,,འ,,,ི,ད,
འིན,藏文字符,,,འ,,,ི,ན,
འིབ,藏文字符,,,འ,,,ི,བ,
འིམ,藏文字符,,,འ,,,ི,མ,
འིར,藏文字符,,,འ,,,ི,ར,
འིལ,藏文字符,,,འ,,,ི,ལ,
འིས,藏文字符,,,འ,,,ི,ས,
འུག,藏文字符,,,འ,,,ུ,ག,
འུང,藏文字符,,,འ,,,ུ,ང,
འུད,藏文字符,,,འ,,,ུ,ད,
འུན,藏文字符,,,འ,,,ུ,ན,
འུབ,藏文字符,,,འ,,,ུ,བ,
འུམ,藏文字符,,,འ,,,ུ,མ,
འུར,藏文字符,,,འ,,,ུ,ར,
འུལ,藏文字符,,,འ,,,ུ,ལ,
འུས,藏文字符,,,འ,,,ུ,ས,
འེག,藏文字符,,,འ,,,ེ,ག,
འེང,藏文字符,,,འ,,,ེ,ང,
འེད,藏文字符,,,འ,,,ེ,ད,
འེན,藏文字符,,,འ,,,ེ,ན,
འེབ,藏文字符,,,འ,,,ེ,བ,
འེམ,藏文字符,,,འ,,,ེ,མ,
འེར,藏文字符,,,འ,,,ེ,ར,
འེལ,藏文字符,,,འ,,,ེ,ལ,
འེས,藏文字符,,,འ,,,ེ,ས,
འོག,藏文字符,,,འ,,,ོ,ག,
འོང,藏文字符,,,འ,,,ོ,ང,
འོད,藏文字符,,,འ,,,ོ,ད,
འོན,藏文字符,,,འ,,,ོ,ན,
འོབ,藏文字符,,,འ,,,ོ,བ,
འོམ,藏文字符,,,འ,,,ོ,མ,
འོར,藏文字符,,,འ,,,ོ,ར,
འོལ,藏文字符,,,འ,,,ོ,ལ,
འོས,藏文字符,,,འ,,,ོ,ས,
ཡག,藏文字符,,,ཡ,,,,ག,
ཡང,藏文字符,,,ཡ,,,,ང,
ཡད,藏文字符,,,ཡ,,,,ད,
ཡན,藏文字符,,,ཡ,,,,ན,
ཡབ,藏文字符,,,ཡ,,,,བ,
ཡམ,藏文字符,,,ཡ,,,,མ,
ཡར,藏文字符,,,ཡ,,,,ར,
ཡལ,藏文字符,,,ཡ,,,,ལ,
ཡས,藏文字符,,,ཡ,,,,ས,
ཡིག,藏文字符,,,ཡ,,,ི,ག,
ཡིང,藏文字符,,,ཡ,,,ི,ང,
ཡིད,藏文字符,,,ཡ,,,ི,ད,
ཡིན,藏文字符,,,ཡ,,,ི,ན,
ཡིབ,藏文字符,,,ཡ,,,ི,བ,
ཡིམ,藏文字符,,,ཡ,,,ི,མ,
ཡིར,藏文字符,,,ཡ,,,ི,ར,
ཡིལ,藏文字符,,,ཡ,,,ི,ལ,
ཡིས,藏文字符,,,ཡ,,,ི,ས,
ཡུག,藏文字符,,,ཡ,,,ུ,ག,
ཡུང,藏文字符,,,ཡ,,,ུ,ང,
ཡུད,藏文字符,,,ཡ,,,ུ,ད,
ཡུན,藏文字符,,,ཡ,,,ུ,ན,
ཡུབ,藏文字符,,,ཡ,,,ུ,བ,
ཡུམ,藏文字符,,,ཡ,,,ུ,མ,
ཡུར,藏文字符,,,ཡ,,,ུ,ར,
ཡུལ,藏文字符,,,ཡ,,,ུ,ལ,
ཡུས,藏文字符,,,ཡ,,,ུ,ས,
ཡེག,藏文字符,,,ཡ,,,ེ,ག,
ཡེང,藏文字符,,,ཡ,,,ེ,ང,
ཡེད,藏文字符,,,ཡ,,,ེ,ད,
ཡེན,藏文字符,,,ཡ,,,ེ,ན,
ཡེབ,藏文字符,,,ཡ,,,ེ,བ,
ཡེམ,藏文字符,,,ཡ,,,ེ,མ,
ཡེར,藏文字符,,,ཡ,,,ེ,ར,
ཡེལ,藏文字符,,,ཡ,,,ེ,ལ,
ཡེས,藏文字符,,,ཡ,,,ེ,ས,
ཡོག,藏文字符,,,ཡ,,,ོ,ག,
ཡོང,藏文字符,,,ཡ,,,ོ,ང,
ཡོད,藏文字符,,,ཡ,,,ོ,ད,
ཡོན,藏文字符,,,ཡ,,,ོ,ན,
ཡོབ,藏文字符,,,ཡ,,,ོ,བ,
ཡོམ,藏文字符,,,ཡ,,,ོ,མ,
ཡོར,藏文字符,,,ཡ,,,ོ,ར,
ཡོལ,藏文字符,,,ཡ,,,ོ,ལ,
ཡོས,藏文字符,,,ཡ,,,ོ,ས,
རག,藏文字符,,,ར,,,,ག,
རང,藏文字符,,,ར,,,,ང,
རད,藏文字符,,,ར,,,,ད,
རན,藏文字符,,,ར,,,,ན,
རབ,藏文字符,,,ར,,,,བ,
རམ,藏文字符,,,ར,,,,མ,
རར,藏文字符,,,ར,,,,ར,
རལ,藏文字符,,,ར,,,,ལ,
རས,藏文字符,,,ར,,,,ས,
རིག,藏文字符,,,ར,,,ི,ག,
རིང,藏文字符,,,ར,,,ི,ང,
རིད,藏文字符,,,ར,,,ི,ད,
རིན,藏文字符,,,ར,,,ི,ན,
རིབ,藏文字符,,,ར,,,ི,བ,
རིམ,藏文字符,,,ར,,,ི,མ,
རིར,藏文字符,,,ར,,,ི,ར,
རིལ,藏文字符,,,ར,,,ི,ལ,
རིས,藏文字符,,,ར,,,ི,ས,
རུག,藏文字符,,,ར,,,ུ,ག,
རུང,藏文字符,,,ར,,,ུ,ང,
རུད,藏文字符,,,ར,,,ུ,ད,
རུན,藏文字符,,,ར,,,ུ,ན,
རུབ,藏文字符,,,ར,,,ུ,བ,
རུམ,藏文字符,,,ར,,,ུ,མ,
རུར,藏文字符,,,ར,,,ུ,ར,
རུལ,藏文字符,,,ར,,,ུ,ལ,
རུས,藏文字符,,,ར,,,ུ,ས,
རེག,藏文字符,,,ར,,,ེ,ག,
རེང,藏文字符,,,ར,,,ེ,ང,
རེད,藏文字符,,,ར,,,ེ,ད,
རེན,藏文字符,,,ར,,,ེ,ན,
རེབ,藏文字符,,,ར,,,ེ,བ,
རེམ,藏文字符,,,ར,,,ེ,མ,
རེར,藏文字符,,,ར,,,ེ,ར,
རེལ,藏文字符,,,ར,,,ེ,ལ,
རེས,藏文字符,,,ར,,,ེ,ས,
རོག,藏文字符,,,ར,,,ོ,ག,
རོང,藏文字符,,,ར,,,ོ,ང,
རོད,藏文字符,,,ར,,,ོ,ད,
རོན,藏文字符,,,ར,,,ོ,ན,
རོབ,藏文字符,,,ར,,,ོ,བ,
རོམ,藏文字符,,,ར,,,ོ,མ,
རོར,藏文字符,,,ར,,,ོ,ར,
རོལ,藏文字符,,,ར,,,ོ,ལ,
རོས,藏文字符,,,ར,,,ོ,ས,
ལག,藏文字符,,,ལ,,,,ག,
ལང,藏文字符,,,ལ,,,,ང,
ལད,藏文字符,,,ལ,,,,ད,
ལན,藏文字符,,,ལ,,,,ན,
ལབ,藏文字符,,,ལ,,,,བ,
ལམ,藏文字符,,,ལ,,,,མ,
ལར,藏文字符,,,ལ,,,,ར,
ལལ,藏文字符,,,ལ,,,,ལ,
ལས,藏文字符,,,ལ,,,,ས,
ལིག,藏文字符,,,ལ,,,ི,ག,
ལིང,藏文字符,,,ལ,,,ི,ང,
ལིད,藏文字符,,,ལ,,,ི,ད,
ལིན,藏文字符,,,ལ,,,ི,ན,
ལིབ,藏文字符,,,ལ,,,ི,བ,
ལིམ,藏文字符,,,ལ,,,ི,མ,
ལིར,藏文字符,,,ལ,,,ི,ར,
ལིལ,藏文字符,,,ལ,,,ི,ལ,
ལིས,藏文字符,,,ལ,,,ི,ས,
ལུག,藏文字符,,,ལ,,,ུ,ག,
ལུང,藏文字符,,,ལ,,,ུ,ང,
ལུད,藏文字符,,,ལ,,,ུ,ད,
ལུན,藏文字符,,,ལ,,,ུ,ན,
ལུབ,藏文字符,,,ལ,,,ུ,བ,
ལུམ,藏文字符,,,ལ,,,ུ,མ,
ལུར,藏文字符,,,ལ,,,ུ,ར,
ལུལ,藏文字符,,,ལ,,,ུ,ལ,
ལུས,藏文字符,,,ལ,,,ུ,ས,
ལེག,藏文字符,,,ལ,,,ེ,ག,
ལེང,藏文字符,,,ལ,,,ེ,ང,
ལེད,藏文字符,,,ལ,,,ེ,ད,
ལེན,藏文字符,,,ལ,,,ེ,ན,
ལེབ,藏文字符,,,ལ,,,ེ,བ,
ལེམ,藏文字符,,,ལ,,,ེ,མ,
ལེར,藏文字符,,,ལ,,,ེ,ར,
ལེལ,藏文字符,,,ལ,,,ེ,ལ,
ལེས,藏文字符,,,ལ,,,ེ,ས,
ལོག,藏文字符,,,ལ,,,ོ,ག,
ལོང,藏文字符,,,ལ,,,ོ,ང,
ལོད,藏文字符,,,ལ,,,ོ,ད,
ལོན,藏文字符,,,ལ,,,ོ,ན,
ལོབ,藏文字符,,,ལ,,,ོ,བ,
ལོམ,藏文字符,,,ལ,,,ོ,མ,
ལོར,藏文字符,,,ལ,,,ོ,ར,
ལོལ,藏文字符,,,ལ,,,ོ,ལ,
ལོས,藏文字符,,,ལ,,,ོ,ས,
ཤག,藏文字符,,,ཤ,,,,ག,
ཤང,藏文字符,,,ཤ,,,,ང,
ཤད,藏文字符,,,ཤ,,,,ད,
ཤན,藏文字符,,,ཤ,,,,ན,
ཤབ,藏文字符,,,ཤ,,,,བ,
ཤམ,藏文字符,,,ཤ,,,,མ,
ཤར,藏文字符,,,ཤ,,,,ར,
ཤལ,藏文字符,,,ཤ,,,,ལ,
ཤས,藏文字符,,,ཤ,,,,ས,
ཤིག,藏文字符,,,ཤ,,,ི,ག,
ཤིང,藏文字符,,,ཤ,,,ི,ང,
ཤིད,藏文字符,,,ཤ,,,ི,ད,
ཤིན,藏文字符,,,ཤ,,,ི,ན,
ཤིབ,藏文字符,,,ཤ,,,ི,བ,
ཤིམ,藏文字符,,,ཤ,,,ི,མ,
ཤིར,藏文字符,,,ཤ,,,ི,ར,
ཤིལ,藏文字符,,,ཤ,,,ི,ལ,
ཤིས,藏文字符,,,ཤ,,,ི,ས,
ཤུག,藏文字符,,,ཤ,,,ུ,ག,
ཤུང,藏文字符,,,ཤ,,,ུ,ང,
ཤུད,藏文字符,,,ཤ,,,ུ,ད,
ཤུན,藏文字符,,,ཤ,,,ུ,ན,
ཤུབ,藏文字符,,,ཤ,,,ུ,བ,
ཤུམ,藏文字符,,,ཤ,,,ུ,མ,
ཤུར,藏文字符,,,ཤ,,,ུ,ར,
ཤུལ,藏文字符,,,ཤ,,,ུ,ལ,
ཤུས,藏文字符,,,ཤ,,,ུ,ས,
ཤེག,藏文字符,,,ཤ,,,ེ,ག,
ཤེང,藏文字符,,,ཤ,,,ེ,ང,
ཤེད,藏文字符,,,ཤ,,,ེ,ད,
ཤེན,藏文字符,,,ཤ,,,ེ,ན,
ཤེབ,藏文字符,,,ཤ,,,ེ,བ,
ཤེམ,藏文字符,,,ཤ,,,ེ,མ,
ཤེར,藏文字符,,,ཤ,,,ེ,ར,
ཤེལ,藏文字符,,,ཤ,,,ེ,ལ,
ཤེས,藏文字符,,,ཤ,,,ེ,ས,
ཤོག,藏文字符,,,ཤ,,,ོ,ག,
ཤོང,藏文字符,,,ཤ,,,ོ,ང,
ཤོད,藏文字符,,,ཤ,,,ོ,ད,
ཤོན,藏文字符,,,ཤ,,,ོ,ན,
ཤོབ,藏文字符,,,ཤ,,,ོ,བ,
ཤོམ,藏文字符,,,ཤ,,,ོ,མ,
ཤོར,藏文字符,,,ཤ,,,ོ,ར,
ཤོལ,藏文字符,,,ཤ,,,ོ,ལ,
ཤོས,藏文字符,,,ཤ,,,ོ,ས,
སག,藏文字符,,,ས,,,,ག,
སང,藏文字符,,,ས,,,,ང,
སད,藏文字符,,,ས,,,,ད,
སན,藏文字符,,,ས,,,,ན,
སབ,藏文字符,,,ས,,,,བ,
སམ,藏文字符,,,ས,,,,མ,
སར,藏文字符,,,ས,,,,ར,
སལ,藏文字符,,,ས,,,,ལ,
སས,藏文字符,,,ས,,,,ས,
སིག,藏文字符,,,ས,,,ི,ག,
སིང,藏文字符,,,ས,,,ི,ང,
སིད,藏文字符,,,ས,,,ི,ད,
སིན,藏文字符,,,ས,,,ི,ན,
སིབ,藏文字符,,,ས,,,ི,བ,
སིམ,藏文字符,,,ས,,,ི,མ,
སིར,藏文字符,,,ས,,,ི,ར,
སིལ,藏文字符,,,ས,,,ི,ལ,
སིས,藏文字符,,,ས,,,ི,ས,
སུག,藏文字符,,,ས,,,ུ,ག,
སུང,藏文字符,,,ས,,,ུ,ང,
སུད,藏文字符,,,ས,,,ུ,ད,
སུན,藏文字符,,,ས,,,ུ,ན,
སུབ,藏文字符,,,ས,,,ུ,བ,
སུམ,藏文字符,,,ས,,,ུ,མ,
སུར,藏文字符,,,ས,,,ུ,ར,
སུལ,藏文字符,,,ས,,,ུ,ལ,
སུས,藏文字符,,,ས,,,ུ,ས,
སེག,藏文字符,,,ས,,,ེ,ག,
སེང,藏文字符,,,ས,,,ེ,ང,
སེད,藏文字符,,,ས,,,ེ,ད,
སེན,藏文字符,,,ས,,,ེ,ན,
སེབ,藏文字符,,,ས,,,ེ,བ,
སེམ,藏文字符,,,ས,,,ེ,མ,
སེར,藏文字符,,,ས,,,ེ,ར,
སེལ,藏文字符,,,ས,,,ེ,ལ,
སེས,藏文字符,,,ས,,,ེ,ས,
སོག,藏文字符,,,ས,,,ོ,ག,
སོང,藏文字符,,,ས,,,ོ,ང,
སོད,藏文字符,,,ས,,,ོ,ད,
སོན,藏文字符,,,ས,,,ོ,ན,
སོབ,藏文字符,,,ས,,,ོ,བ,
སོམ,藏文字符,,,ས,,,ོ,མ,
སོར,藏文字符,,,ས,,,ོ,ར,
སོལ,藏文字符,,,ས,,,ོ,ལ,
སོས,藏文字符,,,ས,,,ོ,ས,
ཧག,藏文字符,,,ཧ,,,,ག,
ཧང,藏文字符,,,ཧ,,,,ང,
ཧད,藏文字符,,,ཧ,,,,ད,
ཧན,藏文字符,,,ཧ,,,,ན,
ཧབ,藏文字符,,,ཧ,,,,བ,
ཧམ,藏文字符,,,ཧ,,,,མ,
ཧར,藏文字符,,,ཧ,,,,ར,
ཧལ,藏文字符,,,ཧ,,,,ལ,
ཧས,藏文字符,,,ཧ,,,,ས,
ཧིག,藏文字符,,,ཧ,,,ི,ག,
ཧིང,藏文字符,,,ཧ,,,ི,ང,
ཧིད,藏文字符,,,ཧ,,,ི,ད,
ཧིན,藏文字符,,,ཧ,,,ི,ན,
ཧིབ,藏文字符,,,ཧ,,,ི,བ,
ཧིམ,藏文字符,,,ཧ,,,ི,མ,
ཧིར,藏文字符,,,ཧ,,,ི,ར,
ཧིལ,藏文字符,,,ཧ,,,ི,ལ,
ཧིས,藏文字符,,,ཧ,,,ི,ས,
ཧུག,藏文字符,,,ཧ,,,ུ,ག,
ཧུང,藏文字符,,,ཧ,,,ུ,ང,
ཧུད,藏文字符,,,ཧ,,,ུ,ད,
ཧུན,藏文字符,,,ཧ,,,ུ,ན,
ཧུབ,藏文字符,,,ཧ,,,ུ,བ,
ཧུམ,藏文字符,,,ཧ,,,ུ,མ,
ཧུར,藏文字符,,,ཧ,,,ུ,ར,
ཧུལ,藏文字符,,,ཧ,,,ུ,ལ,
ཧུས,藏文字符,,,ཧ,,,ུ,ས,
ཧེག,藏文字符,,,ཧ,,,ེ,ག,
ཧེང,藏文字符,,,ཧ,,,ེ,ང,
ཧེད,藏文字符,,,ཧ,,,ེ,ད,
ཧེན,藏文字符,,,ཧ,,,ེ,ན,
ཧེབ,藏文字符,,,ཧ,,,ེ,བ,
ཧེམ,藏文字符,,,ཧ,,,ེ,མ,
ཧེར,藏文字符,,,ཧ,,,ེ,ར,
ཧེལ,藏文字符,,,ཧ,,,ེ,ལ,
ཧེས,藏文字符,,,ཧ,,,ེ,ས,
ཧོག,藏文字符,,,ཧ,,,ོ,ག,
ཧོང,藏文字符,,,ཧ,,,ོ,ང,
ཧོད,藏文字符,,,ཧ,,,ོ,ད,
ཧོན,藏文字符,,,ཧ,,,ོ,ན,
ཧོབ,藏文字符,,,ཧ,,,ོ,བ,
ཧོམ,藏文字符,,,ཧ,,,ོ,མ,
ཧོར,藏文字符,,,ཧ,,,ོ,ར,
ཧོལ,藏文字符,,,ཧ,,,ོ,ལ,
ཧོས,藏文字符,,,ཧ,,,ོ,ས,
ཨག,藏文字符,,,ཨ,,,,ག,
ཨང,藏文字符,,,ཨ,,,,ང,
ཨད,藏文字符,,,ཨ,,,,ད,
ཨན,藏文字符,,,ཨ,,,,ན,
ཨབ,藏文字符,,,ཨ,,,,བ,
ཨམ,藏文字符,,,ཨ,,,,མ,
ཨར,藏文字符,,,ཨ,,,,ར,
ཨལ,藏文字符,,,ཨ,,,,ལ,
ཨས,藏文字符,,,ཨ,,,,ས,
ཨིག,藏文字符,,,ཨ,,,ི,ག,
ཨིང,藏文字符,,,ཨ,,,ི,ང,
ཨིད,藏文字符,,,ཨ,,,ི,ད,
ཨིན,藏文字符,,,ཨ,,,ི,ན,
ཨིབ,藏文字符,,,ཨ,,,ི,བ,
ཨིམ,藏文字符,,,ཨ,,,ི,མ,
ཨིར,藏文字符,,,ཨ,,,ི,ར,
ཨིལ,藏文字符,,,ཨ,,,ི,ལ,
ཨིས,藏文字符,,,ཨ,,,ི,ས,
ཨུག,藏文字符,,,ཨ,,,ུ,ག,
ཨུང,藏文字符,,,ཨ,,,ུ,ང,
ཨུད,藏文字符,,,ཨ,,,ུ,ད,
ཨུན,藏文字符,,,ཨ,,,ུ,ན,
ཨུབ,藏文字符,,,ཨ,,,ུ,བ,
ཨུམ,藏文字符,,,ཨ,,,ུ,མ,
ཨུར,藏文字符,,,ཨ,,,ུ,ར,
ཨུལ,藏文字符,,,ཨ,,,ུ,ལ,
ཨུས,藏文字符,,,ཨ,,,ུ,ས,
ཨེག,藏文字符,,,ཨ,,,ེ,ག,
ཨེང,藏文字符,,,ཨ,,,ེ,ང,
ཨེད,藏文字符,,,ཨ,,,ེ,ད,
ཨེན,藏文字符,,,ཨ,,,ེ,ན,
ཨེབ,藏文字符,,,ཨ,,,ེ,བ,
ཨེམ,藏文字符,,,ཨ,,,ེ,མ,
ཨེར,藏文字符,,,ཨ,,,ེ,ར,
ཨེལ,藏文字符,,,ཨ,,,ེ,ལ,
ཨེས,藏文字符,,,ཨ,,,ེ,ས,
ཨོག,藏文字符,,,ཨ,,,ོ,ག,
ཨོང,藏文字符,,,ཨ,,,ོ,ང,
ཨོད,藏文字符,,,ཨ,,,ོ,ད,
ཨོན,藏文字符,,,ཨ,,,ོ,ན,
ཨོབ,藏文字符,,,ཨ,,,ོ,བ,
ཨོམ,藏文字符,,,ཨ,,,ོ,མ,
ཨོར,藏文字符,,,ཨ,,,ོ,ར,
ཨོལ,藏文字符,,,ཨ,,,ོ,ལ,
ཨོས,藏文字符,,,ཨ,,,ོ,ས,
རྐག,藏文字符,,ར,ྐ,,,,ག,
རྐང,藏文字符,,ར,ྐ,,,,ང,
རྐད,藏文字符,,ར,ྐ,,,,ད,
རྐན,藏文字符,,ར,ྐ,,,,ན,
རྐབ,藏文字符,,ར,ྐ,,,,བ,
རྐམ,藏文字符,,ར,ྐ,,,,མ,
རྐར,藏文字符,,ར,ྐ,,,,ར,
རྐལ,藏文字符,,ར,ྐ,,,,ལ,
རྐས,藏文字符,,ར,ྐ,,,,ས,
རྐིག,藏文字符,,ར,ྐ,,,ི,ག,
རྐིང,藏文字符,,ར,ྐ,,,ི,ང,
རྐིད,藏文字符,,ར,ྐ,,,ི,ད,
རྐིན,藏文字符,,ར,ྐ,,,ི,ན,
རྐིབ,藏文字符,,ར,ྐ,,,ི,བ,
རྐིམ,藏文字符,,ར,ྐ,,,ི,མ,
རྐིར,藏文字符,,ར,ྐ,,,ི,ར,
རྐིལ,藏文字符,,ར,ྐ,,,ི,ལ,
རྐིས,藏文字符,,ར,ྐ,,,ི,ས,
རྐུག,藏文字符,,ར,ྐ,,,ུ,ག,
རྐུང,藏文字符,,ར,ྐ,,,ུ,ང,
རྐུད,藏文字符,,ར,ྐ,,,ུ,ད,
རྐུན,藏文字符,,ར,ྐ,,,ུ,ན,
རྐུབ,藏文字符,,ར,ྐ,,,ུ,བ,
རྐུམ,藏文字符,,ར,ྐ,,,ུ,མ,
